host_response_time,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_score_mean,review_tier
within a few hours,True,True,Palacio,Entire rental unit,Entire home/apt,6,2.0,2.0,5.0,150.0,5,1125,5.0,1125.0,3,18,20,110,19,1,4.87,4.91,4.91,4.95,4.97,4.82,4.905,Excelente (>4.8)
within a few hours,True,True,Trafalgar,Private room in home,Private room,1,1.0,1.0,1.0,43.0,5,30,5.0,30.0,6,10,10,119,13,0,4.96,4.98,4.99,4.96,4.9,4.87,4.943333333333333,Excelente (>4.8)
within a few hours,True,True,Universidad,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,114.0,7,60,6.9,60.0,5,21,32,414,37,1,4.92,4.9,4.91,4.9,4.93,4.85,4.901666666666667,Excelente (>4.8)
within an hour,True,True,Embajadores,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,133.0,31,336,31.0,336.0,30,60,90,54,21,0,4.85,4.96,4.93,4.98,4.72,4.78,4.87,Excelente (>4.8)
within a few hours,True,True,Acacias,Private room in rental unit,Private room,1,1.5,1.0,1.0,46.0,5,365,5.0,365.0,6,15,45,212,13,1,4.64,4.71,4.83,4.7,4.72,4.66,4.71,Alta (4.5–4.8]
within an hour,True,True,Universidad,Entire rental unit,Entire home/apt,3,1.0,0.0,2.0,156.0,5,50,5.0,50.0,14,32,32,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Excelente (>4.8)
within an hour,True,True,Universidad,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,147.0,5,50,5.2,50.0,4,19,39,24,1,1,4.52,4.83,4.79,4.79,4.61,4.29,4.638333333333333,Alta (4.5–4.8]
within a day,True,True,Universidad,Entire condo,Entire home/apt,7,2.5,4.0,6.0,274.0,32,340,30.2,340.0,0,13,36,103,5,0,4.97,4.96,4.97,4.99,4.93,4.94,4.96,Excelente (>4.8)
within a few hours,True,True,Cortes,Entire rental unit,Entire home/apt,8,2.0,3.0,5.0,157.0,3,90,3.0,90.0,6,14,25,438,43,3,4.91,4.73,4.95,4.93,4.97,4.83,4.886666666666667,Excelente (>4.8)
within an hour,True,True,Arcos,Private room in rental unit,Private room,2,1.0,1.0,1.0,42.0,20,730,28.0,1125.0,6,26,28,31,4,0,4.74,4.61,4.81,4.9,4.45,4.65,4.693333333333334,Alta (4.5–4.8]
within an hour,True,True,Sol,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,90.0,2,1125,2.0,1125.0,2,4,5,662,73,0,4.94,4.96,4.97,4.97,4.98,4.93,4.958333333333333,Excelente (>4.8)
within an hour,True,True,Palacio,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,100.0,3,60,3.0,1125.0,4,6,6,255,49,1,4.85,4.77,4.93,4.87,4.9,4.77,4.848333333333334,Excelente (>4.8)
within an hour,True,True,Sol,Entire rental unit,Entire home/apt,3,1.0,0.0,1.0,93.0,1,30,2.6,30.0,2,25,27,327,42,2,4.8,4.81,4.79,4.83,4.95,4.7,4.813333333333333,Excelente (>4.8)
within an hour,True,False,Universidad,Private room in rental unit,Private room,3,1.0,1.0,1.0,42.0,3,1124,3.0,1124.0,30,60,90,33,7,0,4.58,4.15,4.58,4.45,4.88,4.15,4.465,Media (4.0–4.5]
within an hour,True,True,Palacio,Entire rental unit,Entire home/apt,6,3.0,3.0,5.0,365.0,3,1080,3.0,1125.0,11,32,53,508,33,1,4.77,4.85,4.87,4.86,4.94,4.73,4.836666666666667,Excelente (>4.8)
within a few hours,True,True,Simancas,Entire rental unit,Entire home/apt,3,2.0,2.0,2.0,58.0,4,31,3.9,31.0,4,4,4,355,38,2,4.83,4.68,4.72,4.75,4.59,4.78,4.7250000000000005,Alta (4.5–4.8]
